Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2021,A,0,MOFEDIP,AG_PRD_ORTIND,,IX,1.78
2022,A,0,MOFEDIP,AG_PRD_ORTIND,,IX,1.51
2023,A,0,MOFEDIP,AG_PRD_ORTIND,,IX,0.67
2024,A,0,MOFEDIP,AG_PRD_ORTIND,,IX,1.58
