Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,36.13081918691323
2015,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,36.495276013308654
2016,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,37.22806761880432
2017,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,37.4495374125864
2018,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,34.21241004712392
2036,A,0,ZIMSTAT_National_Accounts_Department_2018,SL_EMP_GTOTL,,PT,36.13081918691323
