Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2024,A,0,EMIS_2024,SE_ACS_ELECT,ZW_MW,AGG_0_1,PT,66.35
2024,A,0,EMIS_2024,SE_ACS_ELECT,ZW_MW,AGG_2_3,PT,69.62
2024,A,0,EMIS_2024,SE_ACS_ELECT,ZW_MW,ISCED11_1,PT,66.35
2024,A,0,EMIS_2024,SE_ACS_INTNT,,AGG_0_1,PT,39.99
2024,A,0,EMIS_2024,SE_ACS_INTNT,,AGG_2_3,PT,52.49
2024,A,0,EMIS_2024,SE_ACS_INTNT,,ISCED11_1,PT,39.99
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_BA,AGG_0_1,PT,57.91
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_BA,AGG_2_3,PT,74.55
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_BA,ISCED11_1,PT,57.91
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_HA,AGG_0_1,PT,66.21
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_HA,AGG_2_3,PT,73.79
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_HA,ISCED11_1,PT,66.21
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MA,AGG_0_1,PT,35.03
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MA,AGG_2_3,PT,51.47
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MA,ISCED11_1,PT,35.03
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MC,AGG_0_1,PT,33.42
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MC,AGG_2_3,PT,41.9
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MC,ISCED11_1,PT,33.42
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_ME,AGG_0_1,PT,46.06
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_ME,AGG_2_3,PT,45.17
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_ME,ISCED11_1,PT,46.06
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MI,AGG_0_1,PT,34.1
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MI,AGG_2_3,PT,51.86
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MI,ISCED11_1,PT,34.1
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MN,AGG_0_1,PT,31.8
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MN,AGG_2_3,PT,48.0
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MN,ISCED11_1,PT,31.8
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MS,AGG_0_1,PT,54.53
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MS,AGG_2_3,PT,54.12
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MS,ISCED11_1,PT,54.53
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MV,AGG_0_1,PT,31.47
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MV,AGG_2_3,PT,50.39
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MV,ISCED11_1,PT,31.47
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MW,AGG_0_1,PT,32.91
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MW,AGG_2_3,PT,50.11
2024,A,0,EMIS_2024,SE_ACS_INTNT,ZW_MW,ISCED11_1,PT,32.91
