Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,5.1
2015,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,5.027122029512384
2016,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,2.775098594381077
2017,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,3.815791821490322
2018,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,2.766771232516845
2024,A,0,"ZIMSTAT_,National_Account_Report",SL_EMP_PCAP,,PT,1.7
