Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2020,A,0,SPAR,SH_IHR_CAPS,,PT,52
2023,A,0,SPAR,SH_IHR_CAPS,,PT,66
2024,A,0,SPAR,SH_IHR_CAPS,,PT,55
