Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y10T14,,PER_1000_POP,2.0
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y10T14,R,PER_1000_POP,2.0
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y10T14,U,PER_1000_POP,1.0
2015,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,110.0
2017,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,77.6
2019,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,108.0
2022,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,86.7
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,,PER_1000_POP,111.0
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,R,PER_1000_POP,147.0
2024,A,0,ZDHS_2023_24,SP_DYN_ADKL,,F,Y15T19,U,PER_1000_POP,69.0
