Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,A,0,Minutes_of_meetings_Workshop_Reports_Master_and_Local_Plans_Documents,EN_LND_SLUM,,PT,0.33
2022,A,0,Minutes_of_meetings_Workshop_Reports_Master_and_Local_Plans_Documents,EN_LND_SLUM,,PT,1.1
2023,A,0,Minutes_of_meetings_Workshop_Reports_Master_and_Local_Plans_Documents,EN_LND_SLUM,,PT,80.0
2024,A,0,Minutes_of_meetings_Workshop_Reports_Master_and_Local_Plans_Documents,EN_LND_SLUM,,PT,90.0
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_BA,PT,0.26
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_HA,PT,1.45
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MA,PT,1.24
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MC,PT,1.35
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_ME,PT,1.37
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MI,PT,0.83
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MN,PT,0.85
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MS,PT,1.91
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MV,PT,0.26
2022,A,0,Zimstat_2022_PHC,EN_LND_SLUM,ZW_MW,PT,1.14
