Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2024,A,0,ZDHS_2023_24,SH_PRV_SMOK,,F,Y15T49,PT,1.5
2024,A,0,ZDHS_2023_24,SH_PRV_SMOK,,M,Y15T49,PT,19.2
