Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,0.05
2015,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,412.0
2017,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,384.0
2019,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,355.0
2021,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,325.0
2023,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,305.0
2024,A,0,MPSLSW_administrative_records_National_Employment_Councils_NEC_report,SL_EMP_FTLINJUR,,PER_100000_EMP,55.0
