Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2015,A,0,Reserve_Bank_Of_Zimbabwe,FB_BNK_ACCSS,,Y_GE15,PT,48
2022,A,0,Reserve_Bank_Of_Zimbabwe,FB_BNK_ACCSS,,Y_GE15,PT,83
