Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,Social_Welfare,VC_VAW_DIST,,,PT,95
2016,A,0,Social_Welfare,VC_VAW_DIST,,,PT,166
2017,A,0,Social_Welfare,VC_VAW_DIST,,,PT,14
2018,A,0,Social_Welfare,VC_VAW_DIST,,,PT,3
2019,A,0,Social_Welfare,VC_VAW_DIST,,,PT,4
2020,A,0,Social_Welfare,VC_VAW_DIST,,,PT,2
2021,A,0,Social_Welfare,VC_VAW_DIST,,,PT,0
2022,A,0,Social_Welfare,VC_VAW_DIST,,,PT,127
2023,A,0,Social_Welfare,VC_VAW_DIST,,,PT,4
2024,A,0,Social_Welfare,VC_VAW_DIST,,,PT,14
2017,A,0,Social_Welfare,VC_VAW_DIST,,F,PT,12
2023,A,0,Social_Welfare,VC_VAW_DIST,,F,PT,2
2024,A,0,Social_Welfare,VC_VAW_DIST,,F,PT,13
2017,A,0,Social_Welfare,VC_VAW_DIST,,M,PT,2
2023,A,0,Social_Welfare,VC_VAW_DIST,,M,PT,2
2024,A,0,Social_Welfare,VC_VAW_DIST,,M,PT,1
