Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2015,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,,PT,86.0
2021,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,,PT,87.5
2023,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,,PT,84.6
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,,PT,87.4
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,R,PT,85.8
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,,F,Y15T49,U,PT,89.7
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_BA,F,Y15T49,,PT,82.7
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_HA,F,Y15T49,,PT,90.8
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MA,F,Y15T49,,PT,81.8
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MC,F,Y15T49,,PT,89.7
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_ME,F,Y15T49,,PT,90.3
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MI,F,Y15T49,,PT,87.3
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MN,F,Y15T49,,PT,89.8
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MS,F,Y15T49,,PT,87.7
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MV,F,Y15T49,,PT,84.9
2024,A,0,ZDHS_2023_24,SH_FPL_MTMM,ZW_MW,F,Y15T49,,PT,87.1
