Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2017,A,0,MOFEDIP,AG_PRD_FIESMS,,,PT,52
2019,A,0,MOFEDIP,AG_PRD_FIESMS,,,PT,42
2020,A,0,MOFEDIP,AG_PRD_FIESMS,,,PT,72
2021,A,0,MOFEDIP,AG_PRD_FIESMS,,,PT,61
2023,A,0,MOFEDIP,AG_PRD_FIESMS,,,PT,26
2017,A,0,ZIMSTAT,AG_PRD_FIESMS,,R,PT,52
2019,A,0,ZIMSTAT,AG_PRD_FIESMS,,R,PT,42
2020,A,0,ZIMSTAT,AG_PRD_FIESMS,,R,PT,75
2021,A,0,ZIMSTAT,AG_PRD_FIESMS,,R,PT,71
2023,A,0,ZIMSTAT,AG_PRD_FIESMS,,R,PT,41
2017,A,0,ZIMSTAT,AG_PRD_FIESMS,,U,PT,50
2019,A,0,ZIMSTAT,AG_PRD_FIESMS,,U,PT,27
2020,A,0,ZIMSTAT,AG_PRD_FIESMS,,U,PT,65
2021,A,0,ZIMSTAT,AG_PRD_FIESMS,,U,PT,42
2023,A,0,ZIMSTAT,AG_PRD_FIESMS,,U,PT,38
