Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2017,A,0,Zimstat_QLFS,SL_TLF_CHLDEC,,Y5T17,PT,9.1
2019,A,0,Zimstat_QLFS,SL_TLF_CHLDEC,,Y5T17,PT,1.2
