Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2014,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,,PT,5.0
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,,PT,40.4
2023,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,,PT,37.1
2024,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,,PT,44.4
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,R,PT,53.1
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,,U,PT,12.7
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_BA,,PT,18.1
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_HA,,PT,10.8
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MA,,PT,46.0
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MC,,PT,49.4
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_ME,,PT,45.2
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MI,,PT,50.4
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MN,,PT,57.8
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MS,,PT,59.7
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MV,,PT,48.3
2019,A,0,ZIMSTAT_Labourforce_Report,SI_COV_BENFTS,ZW_MW,,PT,36.0
