Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2020,A,0,GOZ,IT_USE_II99,,,,PT,29.3
2023,A,0,GOZ,IT_USE_II99,,,,PT,22.0
2019,A,0,ZIMSTAT_MICS_Report_2019,IT_USE_II99,,,R,PT,19.9
2019,A,0,ZIMSTAT_MICS_Report_2019,IT_USE_II99,,,U,PT,50.1
2014,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,16.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,30.3
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,34.2
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,39.6
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,60.3
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,38.6
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,46.4
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,53.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,54.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,32.6
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,17.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,27.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,16.1
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,15.6
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,16.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,40.3
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,21.7
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,25.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,32.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,25.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,32.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,7.5
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,22.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,21.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,36.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,34.4
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,35.0
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,17.9
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,20.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,43.0
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,21.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,22.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,31.8
