Indicator
#1-1-1
#1-2-1
#1-2-2
#1-3-1
#11-6-1
#16-1-3
#16-9-1
#17-8-1
#2-1-2
#2-2-1
#2-2-2
#2-2-3
#2-2-4
#3-1-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-b-1
#4-2-2
#5-6-1
#6-2-1
#7-1-1
#7-1-2
