Indicator,Disaggregation combinations using this value
#1-1-1,4
#1-2-1,3
#16-1-1,1
#16-1-3,39
#16-1-4,1
#16-2-2,1
#16-3-1,1
#16-7-1,1
#16-9-1,1
#16-b-1,1
#17-8-1,1
#2-2-1,1
#2-2-2,1
#2-2-3,2
#3-2-1,1
#3-2-2,1
#3-7-1,13
#3-7-2,6
#3-a-1,1
#4-1-1,2
#4-1-2,3
#4-2-2,1
#4-4-1,2
#4-6-1,1
#5-2-1,1
#5-2-2,1
#5-5-1,2
#5-5-2,1
#5-6-1,13
#5-b-1,1
#8-5-2,10
#8-6-1,12
