Value,Disaggregation combinations using this value,Number of indicators
ZW_BA,1,1
ZW_HA,1,1
ZW_MA,1,1
ZW_MC,1,1
ZW_ME,1,1
ZW_MI,1,1
ZW_MN,1,1
ZW_MS,1,1
ZW_MV,1,1
ZW_MW,1,1
