Indicator,Disaggregations,Number of disaggregations
#2-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#2-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#2-2-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION, SEX",5
#2-2-4,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#2-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-a-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA",4
#3-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#3-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX, EDUCATION_LEV",7
#3-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#3-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-3-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-4-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-7-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, AGE, SEX",7
#3-7-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION, AGE, SEX",6
#3-8-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-8-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#3-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, AGE",6
#3-b-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-b-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#3-d-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#4-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX, EDUCATION_LEV",5
#4-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, SEX, EDUCATION_LEV",6
#4-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE",4
#4-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#4-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#4-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#4-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#4-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#4-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, EDUCATION_LEV",5
#4-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, EDUCATION_LEV",4
#5-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#5-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#5-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#5-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE, SEX",5
#5-5-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#5-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, AGE, SEX",7
#5-6-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#5-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#5-a-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#5-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, SEX",5
#5-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION",4
#6-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-4-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-5-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#6-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#7-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#7-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#7-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#7-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#7-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-10-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-10-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE",4
#8-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-5-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, SEX",5
#8-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, AGE, SEX",6
#8-7-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, AGE",4
#8-8-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-8-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-9-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-9-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#8-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#9-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
