Indicator
#1-1-1
#1-2-1
#16-1-1
#16-1-3
#16-1-4
#16-2-2
#16-3-1
#16-7-1
#16-9-1
#16-b-1
#17-8-1
#2-2-1
#2-2-2
#2-2-3
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-a-1
#4-1-1
#4-1-2
#4-2-2
#4-4-1
#4-6-1
#5-2-1
#5-2-2
#5-5-1
#5-5-2
#5-6-1
#5-b-1
#8-5-2
#8-6-1
