Indicator
#1-1-1
#1-2-2
#3-7-1
#3-7-2
#3-a-1
#3-b-1
#4-2-1
#4-4-1
#4-6-1
#5-2-1
#5-2-2
#5-5-1
#5-6-1
#8-10-2
#8-6-1
#8-7-1
