Disaggregation,Number of indicators,Number of values
AGE,16,15
EDUCATION_LEV,5,6
OBS_STATUS,161,1
REF_AREA,24,10
SEX,32,2
SOURCE_DETAIL,161,103
UNIT_MULT,161,1
URBANISATION,24,2
