Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2019,A,0,ZDHS_2023_24,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,32.0
2022,A,0,ZDHS_2023_24,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,9.5
2024,A,0,ZDHS_2023_24,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,37.0
2024,A,0,ZDHS_2023_24,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,38.0
2024,A,0,ZDHS_2023_24,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,35.0
2024,A,0,ZDHS_2023_24,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,32.0
2024,A,0,ZDHS_2023_24,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,41.0
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_BA,,,PER_1000_LIVE_BIRTHS,8.1
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_HA,,,PER_1000_LIVE_BIRTHS,9.0
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MA,,,PER_1000_LIVE_BIRTHS,9.2
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MC,,,PER_1000_LIVE_BIRTHS,10.7
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_ME,,,PER_1000_LIVE_BIRTHS,11.1
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MI,,,PER_1000_LIVE_BIRTHS,10.2
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MN,,,PER_1000_LIVE_BIRTHS,6.0
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MS,,,PER_1000_LIVE_BIRTHS,5.3
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MV,,,PER_1000_LIVE_BIRTHS,9.9
2022,A,0,Zimstat_2022_PHC,SH_DYN_NMRT,ZW_MW,,,PER_1000_LIVE_BIRTHS,9.8
