Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,A,0,Zimstat_MICS_2019,SE_DEV_ONTRK,,Y0T4,PT,61.8
2019,A,0,Zimstat_MICS_2019,SE_DEV_ONTRK,,Y0T4,PT,70.8
