Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2022,A,0,ZIMSTAT,VC_PRR_ROBB,,,PT,32000000000.0
2023,A,0,ZIMSTAT,VC_PRR_ROBB,,,PT,23.0
2024,A,0,ZIMSTAT,VC_PRR_ROBB,,,PT,22.6
2019,A,0,Zimstat_MICS_2019,VC_PRR_ROBB,,F,PT,40.5
2019,A,0,Zimstat_MICS_2019,VC_PRR_ROBB,,M,PT,38.2
