Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2020,A,0,MOFEDIP,DC_TOF_INFRAL,,USD,21511425
2021,A,0,MOFEDIP,DC_TOF_INFRAL,,USD,20124252
2022,A,0,MOFEDIP,DC_TOF_INFRAL,,USD,32798962
2023,A,0,MOFEDIP,DC_TOF_INFRAL,,USD,28243713
2024,A,0,MOFEDIP,DC_TOF_INFRAL,,USD,12735178
