Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2015,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,78.0
2019,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,84.0
2023,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,88.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,,PT,84.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,R,PT,89.7
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,,U,PT,95.3
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_BA,,PT,95.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_HA,,PT,95.6
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MA,,PT,68.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MC,,PT,84.2
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_ME,,PT,85.1
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MI,,PT,84.3
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MN,,PT,94.1
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MS,,PT,88.8
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MV,,PT,86.0
2024,A,0,ZDHS_2023_24,SH_STA_BRTC,ZW_MW,,PT,82.2
