Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2014,A,0,Labour_Force_Survey,IC_GEN_MGTL_19ICLS,,F,PT,27.6
2017,A,0,Labour_Force_Survey,IC_GEN_MGTL_19ICLS,,F,PT,31.0
2023,A,0,Labour_Force_Survey,IC_GEN_MGTL_19ICLS,,F,PT,34.0
