Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,A,0,ZDHS_2023_24,VC_VAW_MARR,,F,Y_GE15,PT,15.0
2019,A,0,ZDHS_2023_24,VC_VAW_MARR,,F,Y_GE15,PT,28.7
2023,A,0,ZDHS_2023_24,VC_VAW_MARR,,F,Y_GE15,PT,39.0
2024,A,0,ZDHS_2023_24,VC_VAW_MARR,,F,Y_GE15,PT,25.1
